,population,income,house_value,rent,tract,unemployment,poverty
0,2357,24630,91500,534,08115968300,0.07,0.17
1,3864,31410,487300,1344,08117000401,0.04,0.13
2,6340,35207,561500,1469,08117000402,0.06,0.1
3,1939,28897,129600,672,08121924100,0.04,0.09
4,2870,25948,111800,681,08121924200,0.05,0.1
5,3473,19083,122700,643,08123000501,0.04,0.39
6,3548,22888,121100,738,08123000502,0.17,0.27
7,6977,26123,147400,944,08123000703,0.1,0.17
8,1007,40609,214800,1328,08123000704,0.06,0.08
9,1513,29167,329400,778,08123000705,0.04,0.05
10,4968,20969,119700,760,08123001003,0.08,0.34
11,4380,24512,122100,809,08123001004,0.06,0.21
12,7248,27129,168000,1117,08123001005,0.05,0.2
13,4885,27303,150300,1015,08123001006,0.06,0.1
14,4314,33715,217000,1295,08123001405,0.04,0.03
15,5593,42875,245400,1288,08123001406,0.07,0.07
16,2566,47056,345200,1376,08123001407,0.03,0.01
17,2101,34202,301200,1056,08123001408,0.03,0.08
18,3271,29796,223900,1119,08123001409,0.01,0.11
19,3470,27490,207600,963,08041001400,0.06,0.14
20,2342,30244,204600,1137,08041004702,0.05,0.06
21,5468,24073,104500,956,08041006200,0.09,0.31
22,1922,30162,211600,744,08041001700,0.09,0.17
23,5343,11808,368800,1171,08013012607,0.09,0.53
24,2521,33378,459000,1925,08013012608,0.04,0.12
25,4639,39533,335300,1502,08013013212,0.04,0.05
26,8709,35407,418300,1202,08013013213,0.07,0.09
27,4534,25541,214900,991,08013013505,0.08,0.21
28,4409,34569,339500,1583,08013013506,0.03,0.13
29,3356,31928,241500,1565,08013013507,0.07,0.05
30,7797,40687,343100,1651,08013013508,0.11,0.03
31,5953,46758,420200,1651,08013060600,0.02,0.07
32,3177,52069,537900,1444,08013060700,0.08,0.05
33,7083,25800,215000,1177,08013060800,0.04,0.14
34,4603,38952,332400,1292,08013060900,0.04,0.07
35,3524,63382,577800,1907,08013061300,0.05,0.02
36,3663,46483,482700,2028,08013061400,0.03,0.04
37,3725,30568,250700,957,08014030000,0.08,0.08
38,2421,34830,297400,904,08014030100,0.06,0.08
39,1901,37731,236500,1614,08014030200,0.09,0.06
40,3609,30030,323900,1063,08014030300,0.04,0.09
41,3908,50493,382900,1797,08014030400,0.03,0.0
42,5787,57234,467000,1425,08014030500,0.02,0.02
43,6282,31878,245300,1689,08014030600,0.01,0.03
44,3110,44167,317700,1666,08014030700,0.03,0.04
45,4840,32169,215200,868,08123001600,0.04,0.07
46,2343,4629,-666666666,-666666666,08123000300,0.21,0.0
47,3256,26728,224700,852,08123000401,0.08,0.18
48,7207,31906,264300,869,08123001500,0.01,0.08
49,5351,32160,244800,933,08123002300,0.05,0.12
50,4029,24671,150100,906,08123001201,0.06,0.23
51,8044,21003,104700,932,08123001300,0.11,0.21
52,3561,30200,393700,1098,08069001007,0.08,0.13
53,6095,40433,339400,1366,08069001009,0.03,0.08
54,3351,36399,217900,1301,08041003307,0.07,0.03
55,5706,36125,197600,1106,08041003308,0.05,0.05
56,1997,35365,-666666666,1519,08041003801,0.03,0.04
57,4101,13276,-666666666,-666666666,08041003802,0.0,0.0
58,9335,35350,-666666666,1455,08041004401,0.11,0.2
59,5680,24659,-666666666,1902,08041004402,0.0,0.0
60,1344,27026,-666666666,1627,08041004403,0.09,0.04
61,9617,39612,243200,1545,08041004510,0.09,0.02
62,7297,32240,194600,1172,08041004511,0.07,0.13
63,3769,33905,203500,1002,08041004601,0.04,0.08
64,4151,27683,192900,984,08041004602,0.07,0.12
65,6758,35899,220600,1470,08041004603,0.04,0.03
66,8124,41200,234400,1423,08041004705,0.04,0.04
67,5143,46589,271300,1713,08041004706,0.05,0.05
68,7448,35105,232800,1247,08041005105,0.05,0.08
69,10100,41717,240700,1527,08041005106,0.05,0.05
70,8880,47120,263200,1717,08041005107,0.04,0.06
71,9192,36961,222300,1436,08041005108,0.04,0.03
72,7553,41106,248400,1595,08041005109,0.06,0.06
73,4458,33468,162800,1124,08041005110,0.07,0.06
74,8105,33217,203300,1428,08041005111,0.05,0.06
75,4988,26935,169800,1278,08041006301,0.04,0.15
76,5605,24752,154400,929,08041006302,0.08,0.28
77,4198,35900,214300,1133,08041006801,0.02,0.14
78,3988,33316,237100,1634,08041006802,0.08,0.09
79,5337,37292,267000,1666,08041006901,0.06,0.07
80,5099,43250,268600,1442,08041006902,0.05,0.05
81,8451,48629,419000,1888,08041007101,0.08,0.05
82,9284,53164,373300,2025,08041007102,0.05,0.01
83,9567,42287,426200,1519,08041007201,0.05,0.1
84,9296,49991,360400,1381,08041007202,0.04,0.03
85,7585,47753,316100,1467,08041007601,0.03,0.01
86,3482,39826,432400,2221,08041007602,0.05,0.06
87,486,2499,-666666666,-666666666,08043980100,,0.0
88,2863,-666666666,-666666666,-666666666,08043980200,,0.0
89,5568,2499,-666666666,-666666666,08043980300,,0.0
90,3595,17893,93500,777,08101002300,0.07,0.16
91,3997,23750,147300,845,08005007202,0.07,0.25
